Em,IDSessao,Pedido,IP,Pageviews
08/11/2012 05:52:00,919176812,,"66.249.75.178",1
08/11/2012 05:24:00,919168694,,"66.249.75.182",1
08/11/2012 05:20:00,919167459,,"157.55.33.22",1
08/11/2012 04:16:00,919150326,,"66.249.75.180",1
08/11/2012 04:01:00,919146524,,"66.249.75.176",1
08/11/2012 03:57:00,919145613,,"66.249.75.186",1
08/11/2012 03:56:00,919145463,,"66.249.75.203",1
08/11/2012 03:46:00,919142793,,"66.249.75.166",1
08/11/2012 03:44:00,919142261,,"66.249.75.202",1
08/11/2012 03:42:00,919141679,,"66.249.75.193",1
08/11/2012 03:39:00,919140918,,"66.249.75.175",1
08/11/2012 03:38:00,919140647,,"66.249.75.188",1
08/11/2012 03:35:00,919139711,,"66.249.75.201",1
08/11/2012 03:14:00,919134004,,"66.249.75.206",1
08/11/2012 02:50:00,919126860,,"66.249.75.215",1
08/11/2012 02:42:00,919124285,,"66.249.75.210",1
08/11/2012 02:31:00,919121189,,"66.249.75.193",1
08/11/2012 02:31:00,919121083,,"66.249.75.214",0
08/11/2012 02:26:00,919119462,,"66.249.75.198",1
08/11/2012 02:18:00,919116942,,"66.249.75.170",1
08/11/2012 02:18:00,919116903,,"66.249.75.199",1
08/11/2012 02:03:00,919112138,,"66.249.75.172",1
08/11/2012 01:56:00,919110147,,"66.249.75.169",1
08/11/2012 01:56:00,919110091,,"66.249.75.202",1
08/11/2012 01:53:00,919109224,,"66.249.75.197",1
08/11/2012 01:30:00,919101183,,"66.249.75.219",1
08/11/2012 01:28:00,919100325,,"66.249.75.215",1
08/11/2012 01:13:00,919095431,,"66.249.75.167",1
08/11/2012 00:33:00,919080244,,"66.249.75.179",1
08/11/2012 00:16:00,919073623,,"66.249.75.183",1
08/11/2012 00:08:00,919069767,,"66.249.75.214",1
07/11/2012 23:58:00,919065118,,"201.11.186.5",144
07/11/2012 23:57:00,919064827,,"177.40.254.5",1
07/11/2012 22:54:00,919035154,,"66.249.75.190",1
07/11/2012 22:21:00,919018827,,"189.5.117.240",2
07/11/2012 21:54:00,919005103,,"74.125.178.82",1
07/11/2012 21:47:00,919001484,,"157.56.229.187",1
07/11/2012 20:34:00,918965220,,"200.207.147.53",2
07/11/2012 20:20:00,918958550,,"66.249.75.213",1
07/11/2012 20:09:00,918953091,,"187.75.45.248",1
07/11/2012 19:30:00,918934432,,"189.27.45.149",4
07/11/2012 19:17:00,918928501,,"65.55.52.86",1
07/11/2012 19:16:00,918928009,,"189.107.162.209",3
07/11/2012 18:11:00,918896077,,"66.249.75.171",1
07/11/2012 18:11:00,918895926,,"66.249.75.203",1
07/11/2012 17:59:00,918889520,,"66.249.75.166",1
07/11/2012 17:59:00,918889338,,"66.249.75.183",0
07/11/2012 17:47:00,918883443,,"157.55.36.52",1
07/11/2012 17:46:00,918882638,,"66.249.75.192",1
07/11/2012 17:44:00,918881426,,"66.249.75.216",1
07/11/2012 17:42:00,918880371,,"201.86.139.91",1
07/11/2012 17:42:00,918880255,,"66.249.75.216",1
07/11/2012 17:30:00,918874415,,"74.125.18.150",1
07/11/2012 17:29:00,918873871,,"66.249.75.175",1
07/11/2012 17:26:00,918872118,,"66.249.75.212",1
07/11/2012 17:23:00,918870270,,"66.249.75.171",1
07/11/2012 17:16:00,918866493,,"66.249.75.200",1
07/11/2012 17:13:00,918864770,,"189.105.66.201",1
07/11/2012 17:13:00,918864583,,"66.249.75.187",1
07/11/2012 16:34:00,918843137,,"187.75.45.248",8
07/11/2012 16:31:00,918841024,,"66.249.75.209",1
07/11/2012 15:59:00,918822890,,"189.10.34.151",4
07/11/2012 15:42:00,918812835,,"66.249.75.171",1
07/11/2012 15:37:00,918809785,,"66.249.75.203",1
07/11/2012 15:36:00,918808968,,"66.249.75.212",1
07/11/2012 15:21:00,918799980,,"66.249.75.179",1
07/11/2012 15:01:00,918787867,,"74.125.183.22",3
07/11/2012 15:00:00,918787593,,"66.249.75.186",1
07/11/2012 14:57:00,918785944,,"66.249.75.185",1
07/11/2012 14:54:00,918784117,,"66.249.75.193",1
